Uniformity,Energy,Entropy,Label
0.0,0.23311796441288804,0.7448936515308757,SAPI
0.0,0.31425377198948806,0.25240691907610113,SAPI
0.0,0.18729899588588922,0.7583145137114595,SAPI
0.0,0.19423706920217507,0.34480880628287736,SAPI
0.0,0.3212620754036455,0.5616104940750013,SAPI
0.0,0.3535613552364056,0.3891961727249198,SAPI
0.0,0.4444641122266215,0.3550746804213656,SAPI
0.0,0.30863240114090673,0.6209547657145364,SAPI
0.0,0.2541608067676066,0.2440136485339348,SAPI
0.0,0.21058547679938402,0.5722143643148332,SAPI
0.0,0.2393161434668239,0.34600489111646127,SAPI
0.0,1.0,0.3801293015835503,SAPI
0.0,0.5954457407577399,0.1893272149929075,SAPI
0.0,0.23212230055721175,0.40129720088858445,SAPI
0.0,0.2455034588143107,0.3244720325570434,SAPI
0.0,0.15718499472161032,0.7073095087093346,SAPI
0.0,0.17499002029378477,0.5298962567783736,SAPI
0.0,0.18032381885483895,0.8094383226930031,SAPI
0.0,0.6187174343753138,0.49774398122773533,SAPI
0.0,0.5171643959612804,0.439781163776078,SAPI
0.0,0.07785483578619182,0.48063985051361957,SAPI
0.0,0.17570540336175122,0.5233441180701748,SAPI
0.0,0.1571705310222795,0.6993230841021081,SAPI
0.0,0.14321155668377333,0.5215754165249429,SAPI
0.0,0.3430563272765667,0.4388730345607712,SAPI
0.0,0.08553011255238971,0.6820955930887465,SAPI
0.0,0.15016763020467316,0.7710535800811558,SAPI
0.0,0.35673666754737615,0.7214061417349278,SAPI
0.0,0.18313657296335295,0.4632700465892263,SAPI
0.0,0.273289281102963,0.48905518771716405,SAPI
0.0,0.5769719696087383,0.2604751396744307,SAPI
0.0,0.1083693278320719,0.6439992946853117,SAPI
0.0,0.18862802482156976,0.7338215763089524,SAPI
0.0,0.6307380196119079,0.46731327421781277,SAPI
0.0,0.13652697070341652,0.6035975597439647,SAPI
0.0,0.30326584455409417,0.2951607682121864,SAPI
0.0,0.5107430263609634,0.47885080590100415,SAPI
0.0,0.10365316860960054,0.694008688112568,SAPI
0.0,0.31189791273148787,0.5963389276354842,SAPI
